¹ÉÆ±´úÂë,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,×òÊÕÅÌ,ÕÇµø·ù,³É½»Á¿,³É½»¶î
hk00166,2019-01-16,0.103000,0.107000,0.102000,0.105000,0.104000,0.009615,1036600.000000,107819.000000
hk00166,2019-01-15,0.105000,0.108000,0.103000,0.104000,0.105000,-0.009524,1182100.000000,123483.000000
hk00166,2019-01-14,0.103000,0.105000,0.101000,0.105000,0.105000,0.000000,1192000.000000,121196.000000
hk00166,2019-01-11,0.105000,0.106000,0.105000,0.105000,0.106000,-0.009434,262000.000000,27518.000000
hk00166,2019-01-10,0.101000,0.107000,0.101000,0.106000,0.105000,0.009524,1056000.000000,112380.000000
hk00166,2019-01-09,0.102000,0.106000,0.100000,0.105000,0.105000,0.000000,1496000.000000,153477.000000
hk00166,2019-01-08,0.102000,0.111000,0.100000,0.105000,0.102000,0.029412,4410000.000000,459852.000000
hk00166,2019-01-07,0.102000,0.103000,0.099000,0.102000,0.102000,0.000000,455000.000000,46186.000000
hk00166,2019-01-04,0.098000,0.103000,0.096000,0.102000,0.098000,0.040816,4309600.000000,424098.000000
hk00166,2019-01-03,0.100000,0.102000,0.097000,0.098000,0.098000,0.000000,1688000.000000,166504.000000
hk00166,2019-01-02,0.106000,0.106000,0.098000,0.098000,0.104000,-0.057692,2958500.000000,298222.000000
hk00166,2018-12-31,0.106000,0.108000,0.104000,0.104000,0.106000,-0.018868,1544000.000000,163552.000000
hk00166,2018-12-28,0.107000,0.108000,0.102000,0.106000,0.107000,-0.009346,1864000.000000,192898.000000
hk00166,2018-12-27,0.110000,0.114000,0.107000,0.107000,0.109000,-0.018349,3276000.000000,364422.000000
hk00166,2018-12-24,0.108000,0.114000,0.108000,0.109000,0.108000,0.009259,222000.000000,24948.000000
hk00166,2018-12-21,0.105000,0.125000,0.097000,0.108000,0.109000,-0.009174,10845500.000000,1174875.000000
hk00166,2018-12-20,0.111000,0.113000,0.104000,0.109000,0.113000,-0.035398,3509500.000000,375822.000000
hk00166,2018-12-19,0.115000,0.116000,0.108000,0.113000,0.116000,-0.025862,3454500.000000,383646.000000
hk00166,2018-12-18,0.105000,0.128000,0.105000,0.116000,0.105000,0.104762,8650000.000000,1022602.000000
hk00166,2018-12-17,0.120000,0.129000,0.103000,0.105000,0.123000,-0.146341,4383000.000000,526764.000000
hk00166,2018-12-14,0.135000,0.139000,0.120000,0.123000,0.132000,-0.068182,14083000.000000,1785018.000000
hk00166,2018-12-13,0.103000,0.160000,0.103000,0.132000,0.101000,0.306931,52647250.000000,7225875.000000
hk00166,2018-12-12,0.100000,0.103000,0.095000,0.101000,0.105000,-0.038095,1158500.000000,114079.000000
