¹ÉÆ±´úÂë,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,×òÊÕÅÌ,ÕÇµø·ù,³É½»Á¿,³É½»¶î
hk00673,2019-01-16,0.083000,0.084000,0.083000,0.080000,0.072000,0.111111,67250.000000,5601.000000
hk00673,2019-01-15,0.070000,0.078000,0.070000,0.072000,0.081000,-0.111111,756000.000000,56277.000000
hk00673,2019-01-14,0.000000,0.000000,0.000000,0.081000,0.082000,-0.012195,0.000000,0.000000
hk00673,2019-01-11,0.080000,0.083000,0.078000,0.082000,0.080000,0.025000,225000.000000,18354.000000
hk00673,2019-01-10,0.000000,0.000000,0.000000,0.080000,0.080000,0.000000,0.000000,0.000000
hk00673,2019-01-09,0.084000,0.084000,0.080000,0.080000,0.082000,-0.024390,90000.000000,7440.000000
hk00673,2019-01-08,0.082000,0.082000,0.082000,0.082000,0.080000,0.025000,291000.000000,23862.000000
hk00673,2019-01-07,0.080000,0.080000,0.080000,0.080000,0.080000,0.000000,150000.000000,12000.000000
hk00673,2019-01-04,0.080000,0.080000,0.080000,0.080000,0.080000,0.000000,42000.000000,3360.000000
hk00673,2019-01-03,0.082000,0.082000,0.080000,0.080000,0.082000,-0.024390,282000.000000,22764.000000
hk00673,2019-01-02,0.087000,0.087000,0.082000,0.082000,0.088000,-0.068182,651000.000000,54678.000000
hk00673,2018-12-31,0.088000,0.088000,0.087000,0.088000,0.085000,0.035294,444000.000000,39048.000000
hk00673,2018-12-28,0.088000,0.088000,0.085000,0.085000,0.086000,-0.011628,348000.000000,30444.000000
hk00673,2018-12-27,0.088000,0.091000,0.085000,0.086000,0.085000,0.011765,1809000.000000,157083.000000
hk00673,2018-12-24,0.000000,0.000000,0.000000,0.085000,0.085000,0.000000,0.000000,0.000000
hk00673,2018-12-21,0.095000,0.095000,0.085000,0.085000,0.085000,0.000000,342000.000000,31140.000000
hk00673,2018-12-20,0.093000,0.093000,0.085000,0.085000,0.088000,-0.034091,69000.000000,5946.000000
hk00673,2018-12-19,0.093000,0.093000,0.088000,0.088000,0.089000,-0.011236,120000.000000,10980.000000
hk00673,2018-12-18,0.093000,0.093000,0.089000,0.089000,0.088000,0.011364,240000.000000,21546.000000
hk00673,2018-12-17,0.083000,0.095000,0.083000,0.088000,0.088000,0.000000,158000.000000,14710.000000
hk00673,2018-12-14,0.087000,0.088000,0.087000,0.088000,0.086000,0.023256,360000.000000,31590.000000
hk00673,2018-12-13,0.091000,0.091000,0.086000,0.086000,0.089000,-0.033708,150000.000000,13050.000000
