¹ÉÆ±´úÂë,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,×òÊÕÅÌ,ÕÇµø·ù,³É½»Á¿,³É½»¶î
hk00109,2019-01-16,0.182000,0.192000,0.180000,0.183000,0.190000,-0.036842,1360000.000000,253520.000000
hk00109,2019-01-15,0.182000,0.190000,0.182000,0.190000,0.185000,0.027027,76979.000000,14315.000000
hk00109,2019-01-14,0.184000,0.187000,0.182000,0.185000,0.192000,-0.036458,336739.000000,61556.000000
hk00109,2019-01-11,0.190000,0.195000,0.190000,0.192000,0.191000,0.005236,526068.000000,99970.000000
hk00109,2019-01-10,0.178000,0.197000,0.178000,0.191000,0.177000,0.079096,416095.000000,74948.000000
hk00109,2019-01-09,0.180000,0.180000,0.178000,0.177000,0.180000,-0.016667,116068.000000,20644.000000
hk00109,2019-01-08,0.180000,0.182000,0.180000,0.180000,0.180000,0.000000,246068.000000,44264.000000
hk00109,2019-01-07,0.183000,0.185000,0.178000,0.180000,0.183000,-0.016393,1206068.000000,218372.000000
hk00109,2019-01-04,0.183000,0.184000,0.183000,0.183000,0.186000,-0.016129,220000.000000,40270.000000
hk00109,2019-01-03,0.196000,0.196000,0.185000,0.186000,0.189000,-0.015873,644950.000000,120971.000000
hk00109,2019-01-02,0.185000,0.190000,0.180000,0.189000,0.196000,-0.035714,2470126.000000,452072.000000
hk00109,2018-12-31,0.196000,0.196000,0.196000,0.196000,0.195000,0.005128,170000.000000,33320.000000
hk00109,2018-12-28,0.193000,0.198000,0.193000,0.195000,0.193000,0.010363,610000.000000,118330.000000
hk00109,2018-12-27,0.000000,0.000000,0.000000,0.193000,0.193000,0.000000,3883.000000,691.000000
hk00109,2018-12-24,0.000000,0.000000,0.000000,0.193000,0.193000,0.000000,3883.000000,722.000000
hk00109,2018-12-21,0.181000,0.198000,0.181000,0.193000,0.184000,0.048913,490000.000000,91580.000000
hk00109,2018-12-20,0.181000,0.189000,0.181000,0.184000,0.189000,-0.026455,745831.000000,137362.000000
hk00109,2018-12-19,0.191000,0.193000,0.187000,0.189000,0.191000,-0.010471,1230000.000000,232880.000000
hk00109,2018-12-18,0.192000,0.196000,0.186000,0.191000,0.192000,-0.005208,1544347.000000,294532.000000
hk00109,2018-12-17,0.189000,0.192000,0.186000,0.192000,0.191000,0.005236,1285633.000000,242893.000000
hk00109,2018-12-14,0.192000,0.192000,0.184000,0.191000,0.192000,-0.005208,1160000.000000,221520.000000
hk00109,2018-12-13,0.192000,0.192000,0.192000,0.192000,0.192000,0.000000,293560.000000,56334.000000
hk00109,2018-12-12,0.192000,0.192000,0.192000,0.192000,0.189000,0.015873,11519.000000,2190.000000
hk00109,2018-12-11,0.193000,0.198000,0.183000,0.189000,0.191000,-0.010471,623236.000000,120019.000000
hk00109,2018-12-10,0.000000,0.000000,0.000000,0.191000,0.191000,0.000000,3223.000000,558.000000
hk00109,2018-12-07,0.000000,0.000000,0.000000,0.191000,0.191000,0.000000,2470.000000,429.000000
hk00109,2018-12-06,0.191000,0.198000,0.191000,0.191000,0.197000,-0.030457,622330.000000,118923.000000
hk00109,2018-12-05,0.000000,0.000000,0.000000,0.197000,0.195000,0.010256,2330.000000,447.000000
hk00109,2018-12-04,0.173000,0.195000,0.173000,0.195000,0.190000,0.026316,1630438.000000,310459.000000
hk00109,2018-12-03,0.192000,0.197000,0.184000,0.190000,0.190000,0.000000,670000.000000,127930.000000
