¹ÉÆ±´úÂë,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,×òÊÕÅÌ,ÕÇµø·ù,³É½»Á¿,³É½»¶î
hk03328,2019-01-16,6.360000,6.440000,6.330000,6.430000,6.440000,-0.001553,33311759.000000,213515897.000000
hk03328,2019-01-15,6.350000,6.460000,6.340000,6.440000,6.340000,0.015773,41119287.000000,263871038.000000
hk03328,2019-01-14,6.300000,6.340000,6.260000,6.340000,6.300000,0.006349,40311340.000000,254259596.000000
hk03328,2019-01-11,6.200000,6.300000,6.200000,6.300000,6.190000,0.017771,39376252.000000,246788634.000000
hk03328,2019-01-10,6.320000,6.320000,6.160000,6.190000,6.240000,-0.008013,28669961.000000,177968794.000000
hk03328,2019-01-09,6.200000,6.310000,6.170000,6.240000,6.150000,0.014634,51421695.000000,321422771.000000
hk03328,2019-01-08,6.100000,6.150000,6.090000,6.150000,6.110000,0.006547,26833615.000000,164563586.000000
hk03328,2019-01-07,6.110000,6.130000,6.070000,6.110000,6.050000,0.009917,18998043.000000,115885330.000000
hk03328,2019-01-04,6.000000,6.080000,5.950000,6.050000,6.000000,0.008333,22887788.000000,138516584.000000
hk03328,2019-01-03,5.960000,6.000000,5.900000,6.000000,5.960000,0.006711,19358690.000000,115656881.000000
hk03328,2019-01-02,6.090000,6.110000,5.880000,5.960000,6.110000,-0.024550,28331316.000000,168252030.000000
hk03328,2018-12-31,6.080000,6.110000,6.040000,6.110000,6.030000,0.013267,16128646.000000,98159670.000000
hk03328,2018-12-28,6.080000,6.080000,6.000000,6.030000,6.000000,0.005000,20263552.000000,122000321.000000
hk03328,2018-12-27,5.980000,6.020000,5.920000,6.000000,5.940000,0.010101,32236039.000000,193099846.000000
hk03328,2018-12-24,5.830000,5.940000,5.830000,5.940000,5.910000,0.005076,12526247.000000,73833854.000000
hk03328,2018-12-21,5.880000,5.910000,5.830000,5.910000,5.880000,0.005102,28794116.000000,169384927.000000
