¹ÉÆ±´úÂë,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,×òÊÕÅÌ,ÕÇµø·ù,³É½»Á¿,³É½»¶î
hk00685,2019-01-16,0.000000,0.000000,0.000000,0.390000,0.390000,0.000000,0.000000,0.000000
hk00685,2019-01-15,0.000000,0.000000,0.000000,0.390000,0.390000,0.000000,0.000000,0.000000
hk00685,2019-01-14,0.000000,0.000000,0.000000,0.390000,0.390000,0.000000,0.000000,0.000000
hk00685,2019-01-11,0.390000,0.400000,0.390000,0.390000,0.390000,0.000000,206000.000000,81235.000000
hk00685,2019-01-10,0.385000,0.395000,0.385000,0.390000,0.380000,0.026316,150000.000000,58410.000000
hk00685,2019-01-09,0.370000,0.385000,0.370000,0.380000,0.370000,0.027027,32000.000000,12065.000000
hk00685,2019-01-08,0.360000,0.375000,0.360000,0.370000,0.360000,0.027778,208000.000000,77360.000000
hk00685,2019-01-07,0.370000,0.370000,0.370000,0.360000,0.370000,-0.027027,28000.000000,10360.000000
hk00685,2019-01-04,0.355000,0.370000,0.355000,0.370000,0.360000,0.027778,3000.000000,1095.000000
hk00685,2019-01-03,0.360000,0.360000,0.355000,0.360000,0.360000,0.000000,83000.000000,29720.000000
hk00685,2019-01-02,0.000000,0.000000,0.000000,0.360000,0.360000,0.000000,0.000000,0.000000
hk00685,2018-12-31,0.360000,0.360000,0.360000,0.360000,0.360000,0.000000,60000.000000,21600.000000
hk00685,2018-12-28,0.360000,0.360000,0.360000,0.360000,0.360000,0.000000,16000.000000,5760.000000
hk00685,2018-12-27,0.355000,0.360000,0.355000,0.360000,0.380000,-0.052632,45000.000000,16125.000000
hk00685,2018-12-24,0.000000,0.000000,0.000000,0.380000,0.380000,0.000000,0.000000,0.000000
hk00685,2018-12-21,0.360000,0.380000,0.360000,0.380000,0.380000,0.000000,6000.000000,2240.000000
hk00685,2018-12-20,0.360000,0.380000,0.360000,0.380000,0.385000,-0.012987,4000.000000,1480.000000
hk00685,2018-12-19,0.000000,0.000000,0.000000,0.385000,0.385000,0.000000,0.000000,0.000000
hk00685,2018-12-18,0.375000,0.385000,0.375000,0.385000,0.380000,0.013158,153000.000000,57405.000000
hk00685,2018-12-17,0.380000,0.385000,0.380000,0.380000,0.390000,-0.025641,121000.000000,45985.000000
hk00685,2018-12-14,0.385000,0.400000,0.385000,0.390000,0.390000,0.000000,161000.000000,62140.000000
hk00685,2018-12-13,0.385000,0.400000,0.385000,0.390000,0.400000,-0.025000,163000.000000,62970.000000
hk00685,2018-12-12,0.380000,0.400000,0.380000,0.400000,0.381000,0.049869,8000.000000,3060.000000
hk00685,2018-12-11,0.390000,0.390000,0.390000,0.395000,0.395000,0.000000,40000.000000,15600.000000
hk00685,2018-12-10,0.385000,0.395000,0.385000,0.395000,0.385000,0.025974,354000.000000,139075.000000
hk00685,2018-12-07,0.395000,0.400000,0.385000,0.385000,0.405000,-0.049383,233000.000000,90890.000000
hk00685,2018-12-06,0.000000,0.000000,0.000000,0.405000,0.410000,-0.012195,0.000000,0.000000
hk00685,2018-12-05,0.400000,0.415000,0.400000,0.410000,0.405000,0.012346,219000.000000,87630.000000
hk00685,2018-12-04,0.405000,0.405000,0.400000,0.405000,0.410000,-0.012195,52000.000000,20965.000000
hk00685,2018-12-03,0.420000,0.420000,0.410000,0.410000,0.415000,-0.012048,91000.000000,37760.000000
hk00685,2018-11-30,0.410000,0.415000,0.400000,0.415000,0.415000,0.000000,762000.000000,310730.000000
hk00685,2018-11-29,0.420000,0.420000,0.405000,0.415000,0.420000,-0.011905,503000.000000,207770.000000
hk00685,2018-11-28,0.425000,0.425000,0.400000,0.420000,0.420000,0.000000,960000.000000,396580.000000
hk00685,2018-11-27,0.400000,0.420000,0.400000,0.420000,0.405000,0.037037,335000.000000,138700.000000
hk00685,2018-11-26,0.420000,0.435000,0.405000,0.405000,0.420000,-0.035714,644000.000000,269680.000000
hk00685,2018-11-23,0.425000,0.425000,0.410000,0.420000,0.405000,0.037037,376000.000000,157795.000000
hk00685,2018-11-22,0.425000,0.425000,0.405000,0.405000,0.415000,-0.024096,318000.000000,134245.000000
hk00685,2018-11-21,0.410000,0.420000,0.410000,0.415000,0.405000,0.024691,461000.000000,191370.000000
hk00685,2018-11-20,0.405000,0.435000,0.400000,0.405000,0.425000,-0.047059,306000.000000,127685.000000
hk00685,2018-11-19,0.425000,0.430000,0.410000,0.425000,0.415000,0.024096,308000.000000,131545.000000
hk00685,2018-11-16,0.410000,0.420000,0.410000,0.415000,0.420000,-0.011905,161000.000000,66170.000000
hk00685,2018-11-15,0.400000,0.425000,0.400000,0.420000,0.400000,0.050000,530000.000000,221300.000000
hk00685,2018-11-14,0.400000,0.400000,0.400000,0.400000,0.400000,0.000000,136000.000000,54400.000000
hk00685,2018-11-13,0.400000,0.400000,0.400000,0.400000,0.400000,0.000000,20000.000000,8000.000000
hk00685,2018-11-12,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0.000000,0.000000
hk00685,2018-11-09,0.000000,0.000000,0.000000,0.400000,0.400000,0.000000,0.000000,0.000000
hk00685,2018-11-08,0.395000,0.410000,0.395000,0.400000,0.390000,0.025641,132000.000000,52270.000000
hk00685,2018-11-07,0.395000,0.395000,0.390000,0.390000,0.395000,-0.012658,31000.000000,12095.000000
hk00685,2018-11-06,0.395000,0.395000,0.390000,0.395000,0.395000,0.000000,522000.000000,203830.000000
hk00685,2018-11-05,0.395000,0.395000,0.390000,0.395000,0.395000,0.000000,162000.000000,63730.000000
hk00685,2018-11-02,0.395000,0.410000,0.395000,0.395000,0.410000,-0.036585,150000.000000,59450.000000
hk00685,2018-11-01,0.405000,0.410000,0.405000,0.410000,0.405000,0.012346,35000.000000,14270.000000
hk00685,2018-10-31,0.405000,0.405000,0.405000,0.405000,0.405000,0.000000,5000.000000,2025.000000
hk00685,2018-10-30,0.410000,0.410000,0.395000,0.405000,0.415000,-0.024096,65000.000000,25725.000000
hk00685,2018-10-29,0.400000,0.445000,0.400000,0.415000,0.395000,0.050633,1992000.000000,842910.000000
hk00685,2018-10-26,0.385000,0.395000,0.385000,0.395000,0.395000,0.000000,80000.000000,31410.000000
hk00685,2018-10-25,0.405000,0.410000,0.395000,0.395000,0.415000,-0.048193,238000.000000,95245.000000
hk00685,2018-10-24,0.415000,0.415000,0.415000,0.415000,0.410000,0.012195,40000.000000,16600.000000
hk00685,2018-10-23,0.420000,0.420000,0.410000,0.410000,0.425000,-0.035294,273000.000000,112495.000000
hk00685,2018-10-22,0.435000,0.435000,0.415000,0.425000,0.435000,-0.022989,404000.000000,171360.000000
hk00685,2018-10-19,0.430000,0.440000,0.425000,0.435000,0.445000,-0.022472,365000.000000,159325.000000
hk00685,2018-10-18,0.000000,0.000000,0.000000,0.445000,0.445000,0.000000,0.000000,0.000000
hk00685,2018-10-16,0.460000,0.460000,0.430000,0.445000,0.460000,-0.032609,145000.000000,64570.000000
hk00685,2018-10-15,0.000000,0.000000,0.000000,0.460000,0.460000,0.000000,0.000000,0.000000
hk00685,2018-10-12,0.000000,0.000000,0.000000,0.460000,0.470000,-0.021277,0.000000,0.000000
hk00685,2018-10-11,0.000000,0.000000,0.000000,0.470000,0.470000,0.000000,0.000000,0.000000
hk00685,2018-10-10,0.465000,0.470000,0.465000,0.470000,0.460000,0.021739,177000.000000,83080.000000
hk00685,2018-10-09,0.460000,0.460000,0.460000,0.460000,0.460000,0.000000,10000.000000,4600.000000
hk00685,2018-10-08,0.455000,0.460000,0.455000,0.460000,0.465000,-0.010753,159000.000000,73030.000000
hk00685,2018-10-05,0.465000,0.480000,0.465000,0.465000,0.465000,0.000000,260000.000000,122725.000000
hk00685,2018-10-04,0.460000,0.465000,0.460000,0.465000,0.465000,0.000000,95000.000000,43995.000000
hk00685,2018-10-03,0.465000,0.465000,0.465000,0.465000,0.470000,-0.010638,30000.000000,13950.000000
hk00685,2018-10-02,0.470000,0.480000,0.470000,0.470000,0.470000,0.000000,252000.000000,120895.000000
hk00685,2018-09-28,0.000000,0.000000,0.000000,0.470000,0.470000,0.000000,1000.000000,470.000000
hk00685,2018-09-27,0.460000,0.460000,0.460000,0.470000,0.470000,0.000000,27000.000000,12420.000000
hk00685,2018-09-26,0.000000,0.000000,0.000000,0.470000,0.470000,0.000000,0.000000,0.000000
hk00685,2018-09-24,0.470000,0.470000,0.460000,0.470000,0.485000,-0.030928,246000.000000,114695.000000
hk00685,2018-09-21,0.470000,0.485000,0.470000,0.485000,0.465000,0.043011,66000.000000,31920.000000
hk00685,2018-09-20,0.480000,0.480000,0.465000,0.465000,0.480000,-0.031250,28000.000000,13425.000000
hk00685,2018-09-19,0.480000,0.480000,0.480000,0.480000,0.475000,0.010526,135000.000000,64800.000000
hk00685,2018-09-18,0.440000,0.475000,0.440000,0.475000,0.440000,0.079545,364000.000000,168080.000000
hk00685,2018-09-17,0.445000,0.445000,0.440000,0.440000,0.445000,-0.011236,122000.000000,53880.000000
hk00685,2018-09-14,0.445000,0.445000,0.445000,0.445000,0.445000,0.000000,42000.000000,18690.000000
hk00685,2018-09-13,0.450000,0.460000,0.445000,0.445000,0.460000,-0.032609,180000.000000,80425.000000
hk00685,2018-09-12,0.460000,0.460000,0.460000,0.460000,0.460000,0.000000,26000.000000,11960.000000
hk00685,2018-09-11,0.450000,0.460000,0.450000,0.460000,0.460000,0.000000,131000.000000,59450.000000
hk00685,2018-09-10,0.455000,0.460000,0.455000,0.460000,0.455000,0.010989,39000.000000,17935.000000
hk00685,2018-09-07,0.460000,0.480000,0.455000,0.455000,0.470000,-0.031915,146000.000000,67255.000000
hk00685,2018-09-06,0.470000,0.470000,0.450000,0.470000,0.475000,-0.010526,200000.000000,91310.000000
hk00685,2018-09-05,0.475000,0.475000,0.465000,0.475000,0.485000,-0.020619,274000.000000,130040.000000
hk00685,2018-09-04,0.475000,0.485000,0.475000,0.485000,0.470000,0.031915,298000.000000,143350.000000
hk00685,2018-09-03,0.470000,0.470000,0.470000,0.470000,0.480000,-0.020833,120000.000000,56400.000000
hk00685,2018-08-31,0.490000,0.490000,0.480000,0.480000,0.490000,-0.020408,230000.000000,111750.000000
hk00685,2018-08-30,0.510000,0.510000,0.490000,0.490000,0.490000,0.000000,351000.000000,175640.000000
hk00685,2018-08-29,0.520000,0.520000,0.490000,0.490000,0.520000,-0.057692,106000.000000,53880.000000
hk00685,2018-08-28,0.510000,0.520000,0.510000,0.520000,0.520000,0.000000,90000.000000,46140.000000
hk00685,2018-08-27,0.530000,0.530000,0.520000,0.520000,0.510000,0.019608,384000.000000,201390.000000
hk00685,2018-08-24,0.530000,0.530000,0.510000,0.510000,0.495000,0.030303,340000.000000,175400.000000
hk00685,2018-08-23,0.510000,0.530000,0.495000,0.495000,0.500000,-0.010000,380000.000000,195290.000000
hk00685,2018-08-22,0.500000,0.500000,0.480000,0.500000,0.510000,-0.019608,50000.000000,24900.000000
hk00685,2018-08-21,0.510000,0.530000,0.500000,0.510000,0.500000,0.020000,282000.000000,149040.000000
hk00685,2018-08-20,0.500000,0.510000,0.500000,0.500000,0.510000,-0.019608,176000.000000,88760.000000
hk00685,2018-08-17,0.475000,0.510000,0.475000,0.510000,0.480000,0.062500,225000.000000,112870.000000
hk00685,2018-08-16,0.490000,0.495000,0.470000,0.480000,0.490000,-0.020408,94000.000000,45810.000000
hk00685,2018-08-15,0.460000,0.530000,0.460000,0.490000,0.460000,0.065217,1223000.000000,589755.000000
hk00685,2018-08-14,0.475000,0.480000,0.450000,0.460000,0.460000,0.000000,310000.000000,142705.000000
hk00685,2018-08-13,0.465000,0.465000,0.450000,0.460000,0.475000,-0.031579,176000.000000,80640.000000
hk00685,2018-08-10,0.480000,0.485000,0.475000,0.475000,0.485000,-0.020619,212000.000000,102560.000000
hk00685,2018-08-09,0.465000,0.485000,0.465000,0.485000,0.465000,0.043011,22000.000000,10630.000000
hk00685,2018-08-08,0.465000,0.465000,0.465000,0.465000,0.465000,0.000000,20000.000000,9300.000000
hk00685,2018-08-07,0.470000,0.470000,0.465000,0.465000,0.470000,-0.010638,311000.000000,145365.000000
hk00685,2018-08-06,0.470000,0.470000,0.465000,0.470000,0.470000,0.000000,112000.000000,52390.000000
hk00685,2018-08-03,0.480000,0.485000,0.470000,0.470000,0.500000,-0.060000,205000.000000,98265.000000
hk00685,2018-08-02,0.500000,0.500000,0.500000,0.500000,0.510000,-0.019608,9000.000000,4500.000000
hk00685,2018-08-01,0.510000,0.510000,0.510000,0.510000,0.510000,0.000000,110000.000000,56020.000000
hk00685,2018-07-31,0.520000,0.520000,0.510000,0.510000,0.520000,-0.019231,355000.000000,181860.000000
hk00685,2018-07-30,0.520000,0.520000,0.520000,0.520000,0.520000,0.000000,115000.000000,59800.000000
hk00685,2018-07-27,0.530000,0.540000,0.520000,0.520000,0.520000,0.000000,33000.000000,17520.000000
hk00685,2018-07-26,0.520000,0.540000,0.520000,0.520000,0.500000,0.040000,173000.000000,91140.000000
hk00685,2018-07-25,0.510000,0.520000,0.500000,0.500000,0.500000,0.000000,276000.000000,138800.000000
hk00685,2018-07-24,0.495000,0.510000,0.495000,0.500000,0.490000,0.020408,182000.000000,90615.000000
hk00685,2018-07-23,0.490000,0.495000,0.490000,0.490000,0.495000,-0.010101,263000.000000,129410.000000
hk00685,2018-07-20,0.510000,0.520000,0.495000,0.495000,0.500000,-0.010000,365000.000000,186470.000000
hk00685,2018-07-19,0.510000,0.520000,0.500000,0.500000,0.500000,0.000000,227000.000000,115960.000000
hk00685,2018-07-18,0.500000,0.510000,0.490000,0.500000,0.495000,0.010101,220000.000000,109725.000000
hk00685,2018-07-17,0.480000,0.495000,0.480000,0.495000,0.490000,0.010204,206000.000000,99060.000000
hk00685,2018-07-16,0.490000,0.495000,0.490000,0.490000,0.495000,-0.010101,199000.000000,97550.000000
hk00685,2018-07-13,0.510000,0.510000,0.495000,0.495000,0.510000,-0.029412,185000.000000,93175.000000
hk00685,2018-07-12,0.510000,0.510000,0.450000,0.510000,0.500000,0.020000,824000.000000,416400.000000
hk00685,2018-07-11,0.510000,0.530000,0.495000,0.500000,0.520000,-0.038462,1163000.000000,585475.000000
hk00685,2018-07-10,0.530000,0.530000,0.510000,0.520000,0.530000,-0.018868,169000.000000,87230.000000
hk00685,2018-07-09,0.530000,0.530000,0.510000,0.530000,0.530000,0.000000,431000.000000,226450.000000
hk00685,2018-07-06,0.540000,0.550000,0.530000,0.530000,0.530000,0.000000,429000.000000,231780.000000
hk00685,2018-07-05,0.560000,0.560000,0.530000,0.530000,0.560000,-0.053571,916000.000000,493790.000000
hk00685,2018-07-04,0.580000,0.580000,0.560000,0.560000,0.570000,-0.017544,221000.000000,124160.000000
hk00685,2018-07-03,0.560000,0.570000,0.540000,0.570000,0.600000,-0.050000,1309000.000000,723590.000000
hk00685,2018-06-29,0.610000,0.610000,0.600000,0.600000,0.600000,0.000000,197000.000000,118240.000000
hk00685,2018-06-28,0.580000,0.600000,0.570000,0.600000,0.580000,0.034483,440000.000000,258560.000000
hk00685,2018-06-27,0.590000,0.600000,0.580000,0.580000,0.600000,-0.033333,362000.000000,214890.000000
hk00685,2018-06-26,0.620000,0.620000,0.590000,0.600000,0.620000,-0.032258,810000.000000,483930.000000
