股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收盘,涨跌幅,成交量,成交额
hk03700,2019-01-16,2.000000,2.010000,1.930000,1.960000,1.980000,-0.010101,513000.000000,1015800.000000
hk03700,2019-01-15,1.920000,1.990000,1.900000,1.980000,1.930000,0.025907,1382224.000000,2675434.000000
hk03700,2019-01-14,1.920000,1.950000,1.910000,1.930000,1.940000,-0.005155,836000.000000,1612730.000000
hk03700,2019-01-11,1.970000,1.970000,1.920000,1.940000,1.980000,-0.020202,538000.000000,1047810.000000
hk03700,2019-01-10,1.930000,2.020000,1.880000,1.980000,1.980000,0.000000,1934000.000000,3792930.000000
hk03700,2019-01-09,1.970000,2.020000,1.940000,1.980000,1.970000,0.005076,1018055.000000,2021398.000000
hk03700,2019-01-08,1.920000,1.970000,1.870000,1.970000,1.940000,0.015464,757000.000000,1447000.000000
hk03700,2019-01-07,1.960000,2.000000,1.910000,1.940000,1.960000,-0.010204,805000.000000,1570140.000000
hk03700,2019-01-04,1.880000,1.970000,1.800000,1.960000,1.880000,0.042553,815000.000000,1556700.000000
hk03700,2019-01-03,1.930000,1.950000,1.850000,1.880000,1.970000,-0.045685,1367666.000000,2568665.000000
hk03700,2019-01-02,2.000000,2.020000,1.910000,1.970000,2.000000,-0.015000,406000.000000,788140.000000
hk03700,2018-12-31,2.030000,2.030000,1.950000,2.000000,1.950000,0.025641,82000.000000,163070.000000
hk03700,2018-12-28,2.020000,2.020000,1.950000,1.950000,1.920000,0.015625,468000.000000,917730.000000
hk03700,2018-12-27,2.030000,2.090000,1.910000,1.920000,2.030000,-0.054187,1036189.000000,2058505.000000
hk03700,2018-12-24,2.000000,2.040000,1.970000,2.030000,2.040000,-0.004902,167896.000000,339728.000000
hk03700,2018-12-21,2.010000,2.090000,1.970000,2.040000,2.010000,0.014925,1057000.000000,2122970.000000
hk03700,2018-12-20,2.090000,2.090000,1.820000,2.010000,2.110000,-0.047393,1236000.000000,2484360.000000
hk03700,2018-12-19,2.150000,2.160000,2.080000,2.110000,2.130000,-0.009390,672000.000000,1421180.000000
hk03700,2018-12-18,2.160000,2.190000,2.110000,2.130000,2.210000,-0.036199,1048000.000000,2243000.000000
hk03700,2018-12-17,2.170000,2.230000,2.130000,2.210000,2.180000,0.013761,757000.000000,1661980.000000
hk03700,2018-12-14,2.080000,2.240000,2.060000,2.180000,2.080000,0.048077,3125000.000000,6774420.000000
hk03700,2018-12-13,2.140000,2.140000,2.040000,2.080000,2.130000,-0.023474,982000.000000,2072090.000000
hk03700,2018-12-12,2.000000,2.170000,2.000000,2.130000,1.970000,0.081218,1676000.000000,3535070.000000
hk03700,2018-12-11,2.020000,2.070000,1.970000,1.970000,2.020000,-0.024752,1972000.000000,3963250.000000
hk03700,2018-12-10,2.130000,2.130000,2.010000,2.020000,2.150000,-0.060465,1965000.000000,4050250.000000
hk03700,2018-12-07,2.130000,2.180000,2.100000,2.150000,2.080000,0.033654,1059000.000000,2269900.000000
hk03700,2018-12-06,2.220000,2.220000,2.070000,2.080000,2.270000,-0.083700,3416000.000000,7276370.000000
hk03700,2018-12-05,2.200000,2.270000,2.190000,2.270000,2.240000,0.013393,719000.000000,1612910.000000
hk03700,2018-12-04,2.230000,2.280000,2.210000,2.240000,2.240000,0.000000,835000.000000,1867160.000000
hk03700,2018-12-03,2.200000,2.260000,2.200000,2.240000,2.170000,0.032258,1044000.000000,2336240.000000
hk03700,2018-11-30,2.200000,2.220000,2.160000,2.170000,2.180000,-0.004587,1210000.000000,2650420.000000
hk03700,2018-11-29,2.160000,2.300000,2.160000,2.180000,2.200000,-0.009091,2002000.000000,4468100.000000
hk03700,2018-11-28,2.260000,2.290000,2.160000,2.200000,2.310000,-0.047619,3394000.000000,7463940.000000
hk03700,2018-11-27,2.320000,2.330000,2.280000,2.310000,2.300000,0.004348,521000.000000,1202400.000000
hk03700,2018-11-26,2.220000,2.340000,2.220000,2.300000,2.270000,0.013216,1118000.000000,2592160.000000
hk03700,2018-11-23,2.400000,2.400000,2.260000,2.270000,2.360000,-0.038136,804000.000000,1851010.000000
hk03700,2018-11-22,2.360000,2.370000,2.310000,2.360000,2.340000,0.008547,1143000.000000,2669010.000000
hk03700,2018-11-21,2.260000,2.350000,2.240000,2.340000,2.300000,0.017391,1738000.000000,4038260.000000
hk03700,2018-11-20,2.210000,2.320000,2.160000,2.300000,2.210000,0.040724,1556000.000000,3503850.000000
hk03700,2018-11-19,2.170000,2.230000,2.110000,2.210000,2.190000,0.009132,2129000.000000,4601990.000000
hk03700,2018-11-16,2.180000,2.230000,2.150000,2.190000,2.180000,0.004587,1054000.000000,2317500.000000
hk03700,2018-11-15,2.190000,2.240000,2.160000,2.180000,2.180000,0.000000,2022000.000000,4433580.000000
hk03700,2018-11-14,2.210000,2.250000,2.150000,2.180000,2.240000,-0.026786,2118000.000000,4647110.000000
hk03700,2018-11-13,2.280000,2.280000,2.190000,2.240000,2.270000,-0.013216,1238000.000000,2790420.000000
hk03700,2018-11-12,2.350000,2.350000,2.250000,2.270000,2.300000,-0.013043,1628000.000000,3712795.000000
hk03700,2018-11-09,2.370000,2.370000,2.280000,2.300000,2.390000,-0.037657,913000.000000,2113800.000000
hk03700,2018-11-08,2.500000,2.500000,2.350000,2.390000,2.380000,0.004202,2416000.000000,5903860.000000
hk03700,2018-11-07,2.370000,2.480000,2.360000,2.380000,2.370000,0.004219,3354000.000000,8127560.000000
hk03700,2018-11-06,2.290000,2.400000,2.270000,2.370000,2.270000,0.044053,1831000.000000,4287970.000000
hk03700,2018-11-05,2.320000,2.360000,2.230000,2.270000,2.400000,-0.054167,2014000.000000,4582500.000000
hk03700,2018-11-02,2.390000,2.460000,2.330000,2.400000,2.280000,0.052632,3454000.000000,8262560.000000
hk03700,2018-11-01,2.290000,2.400000,2.260000,2.280000,2.260000,0.008850,1522000.000000,3532630.000000
hk03700,2018-10-31,2.190000,2.370000,2.180000,2.260000,2.160000,0.046296,1826000.000000,4105860.000000
