¹ÉÆ±´úÂë,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,×òÊÕÅÌ,ÕÇµø·ù,³É½»Á¿,³É½»¶î
hk00389,2019-01-16,0.128000,0.126000,0.122000,0.125000,0.127000,-0.015748,212000.000000,26452.000000
hk00389,2019-01-15,0.121000,0.127000,0.121000,0.127000,0.126000,0.007937,40000.000000,4924.000000
hk00389,2019-01-14,0.120000,0.127000,0.120000,0.126000,0.128000,-0.015625,88000.000000,10612.000000
hk00389,2019-01-11,0.130000,0.130000,0.123000,0.128000,0.126000,0.015873,58000.000000,7178.000000
hk00389,2019-01-10,0.124000,0.128000,0.120000,0.126000,0.125000,0.008000,482000.000000,59176.000000
hk00389,2019-01-09,0.128000,0.129000,0.124000,0.125000,0.132000,-0.053030,471000.000000,60126.000000
hk00389,2019-01-08,0.124000,0.133000,0.124000,0.132000,0.129000,0.023256,1218000.000000,152226.000000
hk00389,2019-01-07,0.121000,0.133000,0.121000,0.129000,0.127000,0.015748,430000.000000,53782.000000
hk00389,2019-01-04,0.127000,0.134000,0.120000,0.127000,0.125000,0.016000,452000.000000,56052.000000
hk00389,2019-01-03,0.126000,0.126000,0.126000,0.125000,0.120000,0.041667,2000.000000,252.000000
hk00389,2019-01-02,0.126000,0.126000,0.120000,0.120000,0.127000,-0.055118,234000.000000,28376.000000
hk00389,2018-12-31,0.127000,0.127000,0.127000,0.127000,0.120000,0.058333,28000.000000,3556.000000
hk00389,2018-12-28,0.128000,0.128000,0.120000,0.120000,0.124000,-0.032258,304000.000000,36616.000000
hk00389,2018-12-27,0.125000,0.125000,0.124000,0.124000,0.129000,-0.038760,116000.000000,14462.000000
hk00389,2018-12-24,0.129000,0.129000,0.124000,0.129000,0.127000,0.015748,14000.000000,1756.000000
hk00389,2018-12-21,0.119000,0.129000,0.117000,0.127000,0.129000,-0.015504,514000.000000,62722.000000
hk00389,2018-12-20,0.129000,0.129000,0.127000,0.129000,0.127000,0.015748,22000.000000,2822.000000
hk00389,2018-12-19,0.000000,0.000000,0.000000,0.127000,0.128000,-0.007812,0.000000,0.000000
hk00389,2018-12-18,0.129000,0.129000,0.125000,0.128000,0.125000,0.024000,8000.000000,1014.000000
hk00389,2018-12-17,0.123000,0.129000,0.123000,0.125000,0.132000,-0.053030,154000.000000,19314.000000
hk00389,2018-12-14,0.116000,0.132000,0.116000,0.132000,0.131000,0.007634,26000.000000,3340.000000
hk00389,2018-12-13,0.128000,0.134000,0.126000,0.131000,0.133000,-0.015038,328000.000000,41532.000000
hk00389,2018-12-12,0.136000,0.136000,0.136000,0.133000,0.133000,0.000000,2000.000000,272.000000
hk00389,2018-12-11,0.137000,0.137000,0.128000,0.133000,0.128000,0.039062,30000.000000,3948.000000
hk00389,2018-12-10,0.139000,0.139000,0.123000,0.128000,0.129000,-0.007752,124000.000000,15860.000000
hk00389,2018-12-07,0.137000,0.137000,0.122000,0.129000,0.133000,-0.030075,180000.000000,23054.000000
hk00389,2018-12-06,0.136000,0.136000,0.134000,0.133000,0.132000,0.007576,4000.000000,540.000000
hk00389,2018-12-05,0.131000,0.132000,0.131000,0.132000,0.132000,0.000000,88000.000000,11568.000000
