¹ÉÆ±´úÂë,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,×òÊÕÅÌ,ÕÇµø·ù,³É½»Á¿,³É½»¶î
hk00925,2019-01-16,0.238000,0.255000,0.237000,0.241000,0.238000,0.012605,798000.000000,190466.000000
hk00925,2019-01-15,0.237000,0.241000,0.237000,0.238000,0.249000,-0.044177,1244000.000000,296372.000000
hk00925,2019-01-14,0.237000,0.249000,0.237000,0.249000,0.245000,0.016327,224000.000000,53750.000000
hk00925,2019-01-11,0.240000,0.245000,0.240000,0.245000,0.243000,0.008230,90000.000000,21904.000000
hk00925,2019-01-10,0.238000,0.243000,0.237000,0.243000,0.243000,0.000000,954000.000000,227888.000000
hk00925,2019-01-09,0.240000,0.244000,0.234000,0.243000,0.238000,0.021008,1418000.000000,340366.000000
hk00925,2019-01-08,0.239000,0.255000,0.237000,0.238000,0.234000,0.017094,1004000.000000,241286.000000
hk00925,2019-01-07,0.236000,0.246000,0.234000,0.234000,0.246000,-0.048780,2682000.000000,635692.000000
hk00925,2019-01-04,0.234000,0.255000,0.234000,0.246000,0.233000,0.055794,1490000.000000,362950.000000
hk00925,2019-01-03,0.239000,0.242000,0.233000,0.233000,0.234000,-0.004274,1578000.000000,374924.000000
hk00925,2019-01-02,0.239000,0.239000,0.234000,0.234000,0.241000,-0.029046,1914000.000000,456550.000000
hk00925,2018-12-31,0.241000,0.242000,0.236000,0.241000,0.242000,-0.004132,1152000.000000,276692.000000
hk00925,2018-12-28,0.244000,0.244000,0.236000,0.242000,0.231000,0.047619,776000.000000,186054.000000
hk00925,2018-12-27,0.231000,0.246000,0.231000,0.231000,0.237000,-0.025316,1234000.000000,291394.000000
hk00925,2018-12-24,0.241000,0.241000,0.236000,0.237000,0.241000,-0.016598,1048000.000000,250892.000000
hk00925,2018-12-21,0.241000,0.244000,0.241000,0.241000,0.241000,0.000000,1218000.000000,295034.000000
hk00925,2018-12-20,0.243000,0.244000,0.240000,0.241000,0.243000,-0.008230,1726000.000000,418638.000000
hk00925,2018-12-19,0.246000,0.255000,0.237000,0.243000,0.242000,0.004132,2220000.000000,536466.000000
hk00925,2018-12-18,0.245000,0.260000,0.242000,0.242000,0.245000,-0.012245,514000.000000,125932.000000
hk00925,2018-12-17,0.000000,0.000000,0.000000,0.245000,0.243000,0.008230,0.000000,0.000000
