¹ÉÆ±´úÂë,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,×òÊÕÅÌ,ÕÇµø·ù,³É½»Á¿,³É½»¶î
hk03344,2019-01-16,0.242000,0.244000,0.239000,0.242000,0.242000,0.000000,10168000.000000,2461916.000000
hk03344,2019-01-15,0.240000,0.250000,0.238000,0.242000,0.240000,0.008333,15310000.000000,3706788.000000
hk03344,2019-01-14,0.245000,0.248000,0.240000,0.240000,0.244000,-0.016393,3936000.000000,954740.000000
hk03344,2019-01-11,0.249000,0.250000,0.240000,0.244000,0.250000,-0.024000,11020000.000000,2684704.000000
hk03344,2019-01-10,0.255000,0.255000,0.242000,0.250000,0.255000,-0.019608,12748000.000000,3138630.000000
hk03344,2019-01-09,0.250000,0.255000,0.248000,0.255000,0.249000,0.024096,44632000.000000,11155690.000000
hk03344,2019-01-08,0.220000,0.255000,0.215000,0.249000,0.217000,0.147465,33764000.000000,7978420.000000
hk03344,2019-01-07,0.275000,0.275000,0.200000,0.217000,0.275000,-0.210909,30362000.000000,7379792.000000
hk03344,2019-01-04,0.270000,0.310000,0.270000,0.275000,0.270000,0.018519,24166000.000000,6938060.000000
hk03344,2019-01-03,0.270000,0.295000,0.246000,0.270000,0.270000,0.000000,20098000.000000,5273194.000000
hk03344,2019-01-02,0.295000,0.300000,0.270000,0.270000,0.300000,-0.100000,13978000.000000,3947060.000000
hk03344,2018-12-31,0.310000,0.310000,0.295000,0.300000,0.315000,-0.047619,6360000.000000,1905490.000000
hk03344,2018-12-28,0.315000,0.325000,0.280000,0.315000,0.325000,-0.030769,47290000.000000,14825690.000000
hk03344,2018-12-27,0.320000,0.330000,0.305000,0.325000,0.320000,0.015625,6554000.000000,2081310.000000
hk03344,2018-12-24,0.320000,0.325000,0.315000,0.320000,0.325000,-0.015385,1742000.000000,551880.000000
hk03344,2018-12-21,0.340000,0.340000,0.310000,0.325000,0.345000,-0.057971,8662000.000000,2800390.000000
hk03344,2018-12-20,0.360000,0.360000,0.310000,0.345000,0.375000,-0.080000,35422000.000000,11821310.000000
hk03344,2018-12-19,0.365000,0.375000,0.340000,0.375000,0.370000,0.013514,28092000.000000,10032470.000000
hk03344,2018-12-18,0.350000,0.375000,0.335000,0.370000,0.360000,0.027778,5452000.000000,1955310.000000
hk03344,2018-12-17,0.370000,0.370000,0.350000,0.360000,0.375000,-0.040000,4750000.000000,1729830.000000
hk03344,2018-12-14,0.340000,0.375000,0.325000,0.375000,0.340000,0.102941,24312000.000000,8351220.000000
hk03344,2018-12-13,0.340000,0.350000,0.300000,0.340000,0.350000,-0.028571,22124000.000000,7214690.000000
hk03344,2018-12-12,0.350000,0.355000,0.310000,0.350000,0.350000,0.000000,17128000.000000,5679600.000000
hk03344,2018-12-11,0.350000,0.360000,0.330000,0.350000,0.350000,0.000000,12908000.000000,4451360.000000
