股票编号,报告日期,基本每股收益,净利率,流动比率,速动比率
00018,2017-09,0.024,13.8061,149000.0,10700.0
00018,2017-03,0.0606,16.629,159400.0,9866.37
00018,2016-09,0.0183,10.0663,172300.0,12900.0
00018,2016-03,0.019,4.6833,165000.0,11399.999999999998
00018,2015-09,-0.0022,-1.046,159800.0,11700.0
00018,2015-03,0.0169,3.9136,153800.0,9615.42
00019,2018-12,13.7914,34.7729,3730800.0,3324200.0
00019,2018-06,7.5795,41.7745,3801500.0,2677900.0
00019,2017-12,14.4947,40.3318,2666300.0,2715500.0
00019,2017-06,7.0041,37.4276,2468000.0,2498100.0
00019,2016-12,5.7338,20.728,2375200.0,2338900.0
00019,2016-06,2.8717,21.6093,2552300.0,2597900.0
00019,2015-12,7.4814,26.9738,2616300.0,2262400.0
00019,2015-06,4.1796,31.0277,2561000.0,2617200.0000000005
00020,2018-12,7.3864,55.4135,11676600.0,7122300.0
00020,2018-06,3.5495,78.3524,10292400.0,7203000.0
00020,2017-12,8.4343,46.5534,10661000.0,7369800.0
00020,2017-06,2.6558,29.9439,9303000.0,6337200.0
00020,2016-12,7.174,41.3873,11095400.0,7941600.0
00020,2016-06,2.3845,31.7988,9322000.0,6556900.000000001
00020,2015-12,5.8645,38.0178,9299500.0,5273500.0
00020,2015-06,3.1071,39.7584,9006000.0,5439000.0
00021,2018-12,0.011,47.8195,66400.0,91000.0
00021,2018-06,0.0018,36.5948,68200.0,92500.0
00021,2017-12,-0.0189,-218.6038,66700.0,88699.99999999999
00021,2017-06,-0.0087,-193.3033,59900.0,74900.0
00021,2016-12,-0.001,-10.5511,53600.0,64100.0
00021,2016-06,-0.0021,-39.1563,54900.0,53400.0
00021,2015-12,-0.0018,-58.5699,50100.0,46800.0
00021,2015-06,-0.0021,-243.0866,44500.0,35900.0
00022,2018-09,0.0012,5.309,3501.41,6564.25
00022,2018-03,-0.0001,-0.4247,2338.29,5374.38
00022,2017-09,-0.0004,-2.4189,2414.05,6309.75
00022,2017-03,-0.0004,-0.7917,3206.7,8014.61
00022,2016-09,0.0063,20.2634,3596.27,8316.02
